Text|Label
promotion of sustainable forestry and ensuring better market for products from forests managed in a sustainable way|0
e between 8 14 october wfp assisted 170 beneficiaries with 8 tons of food through food for work programs to build 19 temporary classrooms in kambia district|0
it can only be transmitted through the bite of infected mosquitoes|0
the family of three arrived in gao exhausted from the 47 degree heat hot wind and blowing dust|0
i need infos is the assurance will pay|0
please please help us to catch the thieves they steal a yellow motocycle register nomber 2871 at delmas 40b at 9hr 25 pm|0
he had a case of what the physicians on the ship are calling tsunami lung which is severe aspiration pneumonia caused by inhaling a lot of the tsunami seawater and mud|1
driving through this semi arid to arid area the mission noted crop fields here and there but all in pitiful conditions|0
we didn't get anything at all in the aid|1
we will also work with local leaders and fisheries to ensure that both the processes and the farm produce is suited to the local environment|0
the town council is also providing a new coal fired heating system and coal for the coming winter|0
thanks to this generous contribution the wfp air passenger service in guinea sierra leone liberia and côte d'ivoire will be maintained until its expected ending date|0
malagasy population already suffers from other endemic diseases such as malaria or schistosomiasis and there is a risk that rvf may develop as encephalitis or hemorrhagic fever|1
my family in montreal because i have my papers and i would like to go find them|0
i live in freres jacques what hospital is closer to give my blood|0
in addition evacuees with eczema and skin allergies have been facing aggravated symptoms due to ticks and excessive perspiration in the summer heat|0
external contamination is produced when a person is exposed to external sources such as x rays or when radioactive material e g dust liquid aerosols becomes attached to skin or clothes|0
i would like to know when the school will be opend please send me the answer on this telephone thank you|0
i am anxious to thank you for the fact that you kept your promise thank you for the minutes that you gave me|0
there is a low risk that a few adult groups could appear from the interior of saudi arabia during periods of warm southwesterly winds associated with depressions over northern arabia|0
please give me an idea about the earthquake and will it be pass again in this year what we ganna do|0
water and sanitation assistance to deepen dried up wells in 2 hospitals in kabul provided by unicef regular activities construction of wells and household latrines in laghman and kunar provinces 4 districts ongoing idps construction of wells and latrines in helmand and panjwai districts|1
what precaution can i take to not catch breath's infection thank you|0
i never found water of food thank you|1
the draft constitution envisions a federal republic with laws compliant with the general principles of sharia or islamic law and proposes a multi party system with women included in all national institutions|0
idps living in camps near herat city have suffered greatly from the recent snowfall and intense cold ocha's report said|1
and what we will attempt to do we have done this in a couple of emergencies and it does work particularly in cold climates is to make sure there is one warm room in each of the partially destroyed homes and if it means repairing the roof of the house to make sure it gets through the winter then that is what we will do|1
as for the storm it is at best a weak tropical wave|0
notes request for info on construction|0
trcaire is working with its local partners providing 150 000 people with immediate food relief consisting of rice beans and oil to feed their families while feeding centres provide high nutrition food for severely malnourished children and their mothers|1
frantic search for survivors after catastrophic haiti earthquake nhttp bit ly 6j0rcj|1
however i must stress that the united nations system's efforts to mobilize international assistance to fight the catastrophic fires must continue a flash flood triggered by seasonal rain down poured bogor depok and some area of jakarta since tuesday 23 january 2007 and the overflow of ciliwung and other jakarta's small rivers hit at least 5 sub districts in jakarta and depok on tuesday the head of national disaster operations bonventure wendo said raging floods had forced thousands of people living in high density slums in nairobi to move to higher grounds the scant rainfall in august has not been enough to help the standing crops survive however there is the possibility of a local tsunami that could affect coasts located usually no more than a hundred kilometers from the earthquake epicenter humanitarian response to landslides with the massive floods triggered by an undersea earthquake last sunday destroying roads bridges telecommunication networks and almost all other basic infrastructure distributing the aid once it arrives is proving problematic the british are pulling out helicopters used for relief although flood swollen rivers are posing a fresh threat to several communities and have cut roads which had been rapidly repaired to enable aid to get through this is a traditional house in materials and construction methods but we've incorporated elements to strengthen it to prevent earthquake damage escalada said|1
up until now i still have not found ashelter i am sleeping under a sheet|1
i do not have access to drinking water|0
haiti has problems jesus help the haitian people with their problems|0
united states of america following a series of devastating tornados the american red cross is providing shelter food and emotional support across 12 of the southern states|1
a three day drug awareness and drug abuse prevention training workshop was arranged by undcp in collaboration with the local drug control unit dcu in kandahar from 11 to 14 july|0
several incidents took place during the week including a hand grenade explosion and a missile attack in gardez and a mine explosion in chamkani district in paktya|0
usaid ofda fact sheets can be obtained from the usaid web site at http www usaid gov hum response ofda situation html|0
the council's economic mismanagement of the country's resources has led to a deterioration of social and economic conditions|0
rehabilitation of existing dump sites and preparation of new sanitary landfills creation of livelihoods in waste management using recovered and recycled materials|0
a large sinkhole also suddenly appeared on the morning of friday 4 may in galle road the main road running from colombo to galle|0
on the outskirts of banda aceh the devastated provincial capital wooden barracks were being constructed over open drains with water pooling underneath|1
i would like to have infos regarding canadian visas and grants to study there can you please help me|0
flash floods typically happen in the lowland areas when rains during the june september rainy season drench ethiopia's highlands|0
i am in croix des bouquets where can i find help water and food|1
the sudanese population has been susceptible not only to famine and war related catastrophes but also to floods from rising river levels and torrential rains epidemics such as measles and meningitis drought in the north and south and insect infestations largely due to locusts|1
after all that happened every haitan dreams how are we reconstructing our country|1
meliithebest26 juaa f #uck sandy i got my pl àö ötanos and arepas ready d you already know how i am with food d|0
in the late 1980s ifad had success testing new techniques to battle another pest the new world screwworm the larvae of the screwworm fly|0
vn mauricio http twitpic com 16esd9 volcano in andes east of concepcion chile yes it is erupting can you see the plume|0
notes it's not an emergency this is a person that joking|0
is there a way that you can help me i live at a friend's place temporarily things are not going well for me i am waiting for your response|0
messages with urgency i hope you will read for us on the radio and then send to the government that those of us in kenskoff were just hit with another earthquake and we need|1
help us here in delmas 57 we need water and food and tents please|1
some areas also tried to make artificial rains which proved to be of little help because of the lack of rain cloud|0
saw a documentary today about an earthquake in china now what s happening in haiti it s really sad|1
technicians in charge of meteorological forecasting and of water management did their job|0
the bio control technology involves introducing a virus that attacks maruca vitrata larvae inside the cowpea|1
survivors at lalue near olympic market|0
people are starting to move out of administrative centres and water points and back to traditional grazing areas|1
very few groupssuggested alternative safer housing material saysthe report titled post tsunami relief andrehabilitation a violation of human rights the problems of heat in the 42 degree celcius heat in temporary shelters oftenderisively called 'cowsheds' 'shoeboxes' or 'ovens'are well known|1
this is the arab from canal bleu artist journalist i have nothing that i want along with all my family and i have a mission to give news about all artists that are alive canal bleu seems to be a tv station not a location|0
i would like information on school openings|0
the north is there risk of earthquake or tsunami today|1
it had obviously been a substantial building but was totally wrecked|0
i do not have food to put on the fire i do neither have water nor food|0
it was the culmination of several years of decreasing vaccination coverage due to rising insecurity decreased access difficult terrain and harsh winters that cut off thousands of villages|0
pdc officials cite the importance of providing the broadest possible audience with geospatial information about the tragedy|0
both the taliban and the parties constituting the united front have repeatedly committed serious violations of international humanitarian law including indiscriminate aerial bombardment and shelling summary executions and the use of antipersonnel landmines|0
the national society has commenced a rapid disaster response operation and need assessment which will be followed by an emergency appeal|1
the people in fontamara are starving we are precisely in trou sable madame ganot please pass on the message|1
in croix des bouquets edh refuse to give the power|0
how can we obtain help for those of us victims who have left for the province countyside|1
unicef donated emergency survival kits for 90 families impacted by the forest fires in piggs peak|1
i would like to know when the immigration office with delivered pasport for the people who doesn't have it yet|0
he said of the 13 224 houses affected 2 917 are water logged while 10 307 have been destroyed|1
in addition wfp assisted 2 300 vulnerable people facing severe food shortages in isolated areas recently affected by a snowstorm|1
downed power lines and electricity towers have left several parts of northern mozambique without power|0
i don't have tent but i'll find one to lend but when you'll come w'll find espace|0
the ultimate goal is to immunize at least 9 million children and to prevent 35 000 deaths from the disease each year in a country where measles is among the greatest killers among vaccine preventable diseases|1
omj93 the epicentre was in maule 325 km 200 miles sw of santiago the total 775 km approximately that suffered 8 8 àû richter|0
can i find the earthquake at five or six richter|0
nepal iom's distribution of corrugated galvanized iron cgi sheets in barhabise village development committee vdc sindhupalchowk district continues despite temporary road closures in jurey due to a recent landslide caused by the monsoon rain|1
do you have money for treated water|0
craziness in haiti in aftermath of major earthquake makes waiting too long for train seem so minor please come home safe alexmfischer|1
people are already living in temporary camps or camping on areas of high ground and if the rain continues then not only will more villages be cut off and people marooned but it will be increasingly difficult to get a full scale relief operation underway|1
he added that the hydrology and water management center warned of the water runoff from the ping river which was expected to reach the city of chiang mai at 03 00 hrs|0
in principle there is a general hospital and infectious disease hospital every rayon|1
the fucheng icbc sub branch in mianyang was found to have bought 56 pairs of nike sneakers worth 28 500 yuan for its employees with relief funds|0
ok thanks but now we need food|1
#ireland only noticed that irish papers had missed haiti s earthquake til i saw this article in examiner http bit ly 7rjozv|0
this is particularly true for the use of medicinal plants abebe and ayehu 1993 but also for wild plants some of which are consumed at times of drought war and other hardship|0
staff reported that many roads were flooded including the main road connecting medan sumatra's largest city to lhokseumawe|0
is it on the computer i don't have a way on a computer|0
what about the survivors who already wen to their friends' and relatives' houses in the province when will their receive their aid|1
the first two years' work involves dredging 67 5km of key channel systems and four retention basins as well as repairing 42km of embankments the report said|0
no considerable rainfall that could end the drought in the county in the near future was forecast according to the local meteorological center|0
heavy rain in the cuu long mekong delta province of dong thap washed away 100 tonnes of farmed fish in tan hong district|1
read interseismic strain accumulation measured by gps in the seismic gap between constituci àö â n and concepci àö â n in chile http bit ly a8pajh|0
we must tackle chronic underdevelopment and help communities adapt to changing climates across the region|0
wfp has also developed a contingency plan for a most likely scenario of an influx of 10 000 congolese refugees in case of further ethnic strife|1
in new orleans the levees broke in part because no one conceived of storm surges as savage and sustained as those hurled ashore by hurricane katrina|0
we need tents to sleep in here in gerald bataille|1
the fresh flooding in jaffarabad aggravated the misery of thousands of displaced people from sindh and balochistan who could not reach safe places and had taken refuge near pat feeder canal and other high places|1
thank u for the explanation u send for us even thou i not yet got it thank u|0
is there a hurricane for this moment|0
for several weeks the little boy had to manage on pounded millet mixed with water into a thin porridge his mother had nothing else to offer him|1
can a 1 and a half year old child can cross the border to the dominican republix if his father and mother both have passport and visa|0
i am a 20 year old male wanting to help my haitian brothers|1
in that regard he said that plans related to vitamin a supplementation in food had been successfully implemented as had plans aimed at broad based eradication of preventable or readily treatable diseases|1
earlier reports said nearly 50 000 people were driven from mudflat villages by the flooding as local rivers burst banks while the situation was exacerbated by thunderstorms|1
hundreds of apartments and other buildings were either completely destroyed or rendered uninhabitable|0
it is reported that almost all the hand pumps are in operation disaffection of tubewells has been completed and desalination plants are being set up|0
the security council commends the parties for the constructive dialogue and discussions held in algiers between 16 july and 24 july 2014 leading to the consensual adoption of the road map feuille de route des négociations dans le cadre du processus d'alger by the parties|0
what's the constitution of haiti said about viol|0
unfortunately i don't have any shelter will you give me one|1
we are in martissant we need food medic water|1
b wfp deliveries and distributions were implemented as planned during the week except in manufahi where all food deliveries were suspended due to a security search operation in the district|0
help me for delmas 9 street of quosquer|1
he also condemned the recent police baton charge against protesters in muzaffarabad when the government tried to evacuate them from their homes|0
#911 is overloaded in nyc currently please stop calling for food and vodka #sandy|1
could you please help me to find a job because i'm a young who does nothing and i did find any assistance thank you so much|0
night time loading takes some time under the floodlights|0
we will continue to coordinate closely as well with asean the eu australia canada japan and other actors such as the un to reinforce our fundamental message on reform to the burmese regime|0
i work at the united states military academy at west point we are prepared to come down and feed 1 000 to 1 500 people we have the kitchen equipment including ovens etc and all the food please contact me as soon as possible to see where and when we can come down and feed as many people as possible a hot meal no charge to anyone|1
at least our first storm while we've been living in the us has a cool name #frankenstorm ccritelli me and gina were thinking on halloween if we are still going trick or treating because we have to prepare for the storm|0
over 25 000 people there are still stranded on the rooves of buildings and they face the imminent threat of a dam further upstream bursting due to the excesive stresses on the structure|1
the secretary general of the organization of islamic cooperation oic prof ekmeleddin ihsanoglu who has been closely following the latest developments in mali has expressed his grave concern over the military escalation on the ground|0
the disaster mental health experts engaged the students in creative and expressive activities such as cooking and baking together and making handicrafts|0
as a result of the heat stress caused by a warmer climate sugarcane yields are expected to decline considerably by nearly 30 percent even though there may be small improvements in the yields of several dryland crops|0
during a period of civil tension political insecurity governmental and constitutional change drought flash flooding and a state of famine acted maintained a stable and steady presence offering assistance to the most vulnerable populations of south central somalia|0
pln the state electricity company has repaired electrical relay stations in the area|0
i want to hear the news paper you must know|0
wheat ready made food matchboxes candles oil and polythene sheets have been distributed to the affected population|1
rt federation rt mashable haiti earthquake twitter pictures photos http bit ly 5yhujg|0
there was a 8 8 magnitude earthquake feb 27 with an epicenter 70 miles from concepcion the country's http tumblr com xo3711f1x|1
following heavy rain and opportunistic management of dams upstream in kabira the lower part of the zambezi valley suffered serious flooding|0
good morning i don't have a home can you please give me and my family food and also a tent|1
an acute infection of the intestine cholera is highly contagious and is transmitted by ingesting food and water contaminated by the bacterium or faeces|0
unicef will provide daily supplements of fortified blended food to prevent malnutrition among children and women in the most vulnerable households|1
flooded streets have caused much chaos and traffic gridlocks affecting many of the local vendors|0
i need cards where can i find them|0
please i was hurt in the quake i can't get my card please give me a call|1
separately the west java administration has said it plans to once more dredge the citarum river to reduce the mass of sedimentation that contributes to the area's annual floods|1
here i am tweeting about senseless things not realizing the severity of the earthquake in haiti i am too de sensitized sometimes|0
normally natural materials such as thatch from palm trees and shrubs provide cheap relatively cool and rainproof roofing|0
while the military has been helping the population its interest in having foreign troops leave by the end of march has made some question whether the military is planning to resume counter insurgency operations or is using the disaster to reinforce its control over all of aceh|1
merlin supports 52 health centres and 5 hospitals in kalima kindu and punia with medical supplies and by training health staff to monitor diagnose and treat common illnesses|1
it is now carrying out dozens of major and minor surgical interventions in its operating theatres every day|0
please do everything that is possible thanks god bless you|0
this has reduced moisture for summer crop planting in the area|0
battered by major quake haiti braces for huge death toll a major earthquake struck southern haiti on tuesday http bit ly 7o1wz8|1
treehugger help for haiti earthquake aftermath giving green http is gd 6b4kx|1
we must develop new ways of thinking more holistically about natural resource and farmland management as well as revitalized water management practices and the development of drought tolerant crop varieties and hardier livestock breeds|0
one of the major irrigation dams el guapo had even collapsed|0
infrastructure in the region has been severely affected resulting in large scale collapse of buildings mine cave ins train derailments and power failure cutting off the water supply|1
could you help us to find equipement to move as tents school equipement ect we would like to find an answer because we have already begun|1
in the days after the december 26 disaster which killed over 106 000 indonesians and left many thousands more clinging to life on remote shorelines foreign troops were welcomed as they rushed in aid by navy warships and helicopters|1
cyclone digicel has some minutes to put for me since tuesday it never did 172 28|0
one of the major difficulties confronting health care workers is that the malaria parasite has developed a resistance to some of the anti malaria drugs hindering effective medical treatment|1
notes this message is personal|0
bhadrak district of orissa experienced the first wave of floods on the 1st of august 2003 due to heavy rainfall in the upper catchment areas|0
earthquake victims' with severe trauma or amputation need prostheses|1
i would like to know if it is true that there will be another earthquake tomorrow of a higher magnitude than the one of january 12th|1
the work includes replacement or repair of key items of mechanical and electrical equipment replacement of the filter underdrains floors and media and installation of new dosing equipment|0
the female social mobilisers of rrd herat conducted a three day social mobilization training of trainers' course for two female participants from ghor province|0
as the true scale of this emergency within an emergency becomes apparent and new pockets of the displaced as well as new medical facilities become accessible international medical corps is preparing to join the government of pakistan and the world health organization in deploying emergency medical teams to meet the critical needs of the displaced in dadu|1
the government's disaster management authority the instituto nacional gestao da calamidades ingc said an estimated 60 percent of outpatients and 40 percent of hospital admissions were due to malaria|0
following their recent joint crop and food assessment mission fao and wfp estimated the main crop harvest to be better than last year as a result of the availability of inorganic fertilizers and more favourable weather conditions|0
time to prepare my bag to go to santiago tomorrow dream theater|0
hello i search jobs whenever|0
i'm a young man i made philo i not working but i'm able to work please help me in this situation|0
besides reallocating their resources the ngos have also been providing additional assistance|0
nearly us 265 000 is needed for the rehabilitation of six schools affected by floods to ensure that children go back to school as soon as possible in a child friendly and hygienic environment|1
what should i do to get a mosquitonet|0
next to the boreholes are water troughs which livestock drink from|0
it is a member of the disasters emergency committee of leading uk aid agencies and was a founder member of the jubilee 2000 alliance which campaigned for the cancellation of the unpayable debts of the world's poorest countries|0
the world health organisation who has described it as an easily treatable disease cured with rehydration salts|0
the secretary general is committed to ensuring justice for the victims and their families according to local customs and appropriate united nations procedures|1
a senior official in the reconstruction task force said earlier this week that donors would foot most of the bill although the government would allocate some money in the budget to rebuild the devastated southern and eastern coasts|1
i received all your messages but what i am asking need to get an answe for is|0
i am bus driver i need a job pleas|0
the residents are now pinning their hopes on the pumping station to be installed in irla next year|0
what do we have to do to be relax when they give bad news for the country|0
the nursery belongs to the local fishermen's collective that originally built the nursery from their membership fees three years ago|0
as a result a joint demarche was made to the ministry of foreign affairs of tajikistan by several embassies|0
yes i need help food water and shelter please help me|1
the eastern city of goma and its surrounding areas were hit overnight by the most powerful earth tremor since mount nyiragongo erupted thursday swallowing buildings and forcing residents to flee in its wake|1
i have a child of 7 months has been hit but it affects him hse now|0
we recieved nothing in pacot block rue garoute prolong manjwa we need food water and materials like tents etc please|1
since july the heavy rains have left most of the crops in the districts of katakwi and amuria submerged underwater|0
the training demonstrated how to enhance micronutrient protein and energy intake for meals using locally grown horticulture produce rice and fish|0
the funds would target everything from the restoration of people's livelihoods to new roads and sanitation facilities to coastal development planning he said|0
packing it up cityharvest #sandyvolunteer city harvest's food rescue facility http t co oikjs0oxpraying for sandy storm's victims st patrick's cathedral http t co ojpxosfzrecord setting storm could pummel connecticut http t co pit7wgjb most read by neighbors in #shippanpoint #stamford|1
over the past year iom has been working with the government on disaster preparedness in particular renovating and reinforcing irrigation tanks to prevent flooding during periods of heavy rain|1
people in the gressier santo area enpas des arbres has launched an sos they are suffering from lack of shelter water a food please help|1
we are in croix des bouquets 17 road malpasse before the bridge michaud we are all very hungry|1
where i can go if i need to make a passport|0
i posted 43 photos on facebook in the album|0
ru newark never cancels anything they don't care about hurricanes typhoons snow storms columbus day etc #overit #nocancellations rt nathali001 lmfao cleevycleeve really thinks he makes better arepas then me i'll go buy the masa when we're not on hurricane watch àö ühurricane prep #sandy #frankenstorm kmart w 7 others https t co tmncuzfethree two one here comes the hurricane baby remember it could be your stay safe everyone #sandy tweet that saves a life forget sandy these guys are going to ride out this storm coleman playground skatepark http t co g1cc0fdprelax everybody we're gonna get through this storm together suavemarci this storm is ultimately blowing mines i'm mad sl can't do nothing for 2 days but stay inna housenothing left but croutons #frankenstorm #sandy d'agostino's w 2 others pic http t co hvjpmrlf uofsc sending prayers to nycgamecocks dcgamecocks and all #gamecocks in #sandy's path stay safe àö ü #strongyankeegamecocks|1
i know of an internet service in croix des bouquets falaise street the more important would be to open wireless zones for everyone that has laptops|0
tens of thousands of black mauritanians fled ethnic killings carried out by security forces in the early 1990s|1
in some districts including chattarpur and tikamgarh the season has been punishingly dry recording 57 and 51 less rainfall respectively|0
i'm a mason thank you for your patience|0
the government plans to relocate communities reluctant to move back to the coast for example in sirombu the plan is to move the town some 2 3 kilometres inland with those who make their livelihood through fishing having to commute to the coast by bicycle|0
the brutally cold winter has therefore plunged afghanistan into a humanitarian crisis|0
#latenightcrew #sandy #coopfoodanddrink #hotelonrivington co op food drink http t co hyowdix5|0
more than 17 000 children under five have been screened so far of which approximately 1 550 children were found to be moderately malnourished and subsequently received food supplementation|1
one hundred percent of your gift goes to relief and recovery efforts|1
good evening haiti has many problems but they are those of the haitians tou nan manch that unicef and other ong which made gifts at the public schools make inventories because the children n' do not have where to sit down|1
the secretary general and executive heads of the united nations system chief executives board for coordination agreed with the report's conclusions that there was a need for multilateral agreements regulations rules and guiding principles for disaster response and reduction to be more effectively applied in affected countries and that national regional and global capacities for disaster risk reduction and response should be strengthened|1
levels of chronic malnutrition and anaemia continue to worsen goal is continuing to working with local organisations to provide relief to families displaced from their homes|1
because of flood my house has fallen to ground it is an appeal for help from ghulam yaseen tehseel garhi khairo district jacob aabad|1
i want to activate savis pm in l|0
is wearing my #teamconan shirt drinking coffee and watching the news cnn international has the best coverage of the #haiti earthquake|0
at mahadampa school children crowd round the water tank gulping water thirstily from the tap soon after the school's water tank is replenished by a bowser|1
the main route linking gaborone with the north of the country was washed away near the town of morwa about 70 km north of the capital|0
i don't have monney try to find nevege|0
several regional weather forecasting centres had forecasted the exact course of typhoon chan chu four days before it entered the east sea but the national hydro meteorological forecasting centre did not|1
i received all messages congratulation now i need a job|0
we are in clercine 26 by village theodate we dont have any help we expect you soon|1
